epoch,acc,loss,val_acc,val_loss
0,0.7175925925925926,0.9826815282856977,0.7368421052631579,4.396425958265338
1,0.7777777777777778,0.7216514371059559,0.7719298248228273,1.3539169964037443
2,0.8148148148148148,0.6024755173259311,0.7543859654351285,0.9379016558329264
3,0.8379629629629629,0.5468304576697173,0.7368421073545489,0.9737546684449179
4,0.8796296296296297,0.45612106610227515,0.8771929835018358,0.49302146204730923
5,0.8842592592592593,0.4954284429550171,0.631578947368421,1.1379842347743219
6,0.875,0.5356960517388804,0.7894736847333741,0.7326611217699552
7,0.8425925925925926,0.5656418954884564,0.42105263157894735,2.719229996204376
8,0.8611111111111112,0.5474489783799207,0.8771929829789881,0.5781425865072953
9,0.8935185185185185,0.4134244488345252,0.8947368421052632,0.5326907477880779
10,0.8888888888888888,0.44211777161668847,0.9298245624492043,0.361222131210461
11,0.8935185185185185,0.40995322443820814,0.8947368452423498,0.4753236582404689
12,0.9537037037037037,0.31833098663224113,0.9298245624492043,0.39349555760099175
13,0.9583333333333334,0.3264682922098372,0.8421052662949813,0.5529746371403075
14,0.9444444444444444,0.34437543705657675,0.8947368452423498,0.3762587423910174
15,0.9351851851851852,0.3404141990122972,0.7894736873476129,0.6375116507212321
16,0.9259259259259259,0.3919314857986238,0.8070175449053446,0.5168312453387076
17,0.9351851851851852,0.3177365357125247,0.8771929855932269,0.4798764283196968
18,0.9629629629629629,0.2821308915261869,0.8947368441966542,0.3987237089558652
19,0.9027777777777778,0.3744430012173123,0.8947368452423498,0.41262860674607127
20,0.9490740740740741,0.37483034200138515,0.912280705937168,0.41505124694422674
21,0.9490740740740741,0.29898295799891156,0.7192982466597306,0.873303810232564
22,0.9537037037037037,0.2962655596159123,0.912280703845777,0.4040577976327193
23,0.9722222222222222,0.2483863389050519,0.9122807048914725,0.5116781707395587
24,0.9444444444444444,0.3500755661063724,0.8947368441966542,0.43796921194645394
25,0.9398148148148148,0.3280758857727051,0.8596491233298653,0.4709807968976205
26,0.9537037037037037,0.315104016551265,0.8596491243755608,0.5288290893822386
27,0.9537037037037037,0.29103444516658783,0.8947368421052632,0.477922624140455
28,0.9768518518518519,0.23653369810846117,0.9298245645405954,0.37507932437093633
29,0.9675925925925926,0.26459368511482523,0.8596491269897997,0.5299952364804452
30,0.9953703703703703,0.2264311854486112,0.9298245634948998,0.3429549022724754
31,0.9675925925925926,0.32035314484878824,0.8947368431509587,0.427193249003929
32,0.9861111111111112,0.22590486429355763,0.9473684231440226,0.3097931737439674
33,0.9814814814814815,0.25108464227782357,0.8947368426281109,0.4511025307471292
34,0.9675925925925926,0.2499828106827206,0.912280703845777,0.3994449586199041
35,0.9629629629629629,0.28530176094284765,0.912280705937168,0.4958357727318479
36,0.9722222222222222,0.2518856321220045,0.8070175438596491,0.7241064082635077
37,0.9583333333333334,0.2766659579895161,0.8771929829789881,0.7432491862983034
38,0.9629629629629629,0.27692611791469435,0.8070175449053446,0.6709869608544466
39,0.9537037037037037,0.30326170115559187,0.7192982456140351,1.2909337959268636
40,0.9583333333333334,0.3134147557947371,0.8947368431509587,0.6772978159419277
41,0.9675925925925926,0.2690661670985045,0.912280703845777,0.4670720759191011
42,0.9722222222222222,0.27675669778276374,0.8771929866389224,0.4436195503201401
43,0.9907407407407407,0.2074961844417784,0.912280703845777,0.41259918296546266
44,0.9861111111111112,0.2257358260728695,0.912280703845777,0.3965664328190318
45,0.9953703703703703,0.2101331419414944,0.912280703845777,0.40343933670144333
46,0.9814814814814815,0.23590997689300114,0.912280703845777,0.40484244467919334
47,0.9814814814814815,0.23079806676617376,0.912280703845777,0.40782490320373
48,0.9583333333333334,0.30128106143739486,0.912280703845777,0.4017479011886998
49,0.9907407407407407,0.2274517129968714,0.9122807028000814,0.4697433093137908
50,0.9537037037037037,0.34578949709733325,0.912280703845777,0.4386352112418727
51,0.9722222222222222,0.25012807492856626,0.9298245624492043,0.44625625694007204
