89,61,94
103,75,81
103,85,74
74,47,48
104,76,79
124,98,83
71,62,57
128,78,89
112,73,92
38,33,50
101,80,90
67,51,56
72,39,57
125,91,91
70,60,64
49,44,50
41,39,39
56,44,57
83,63,73
95,83,80
85,55,52
71,60,72
91,65,65
103,69,70
103,63,78
113,75,73
92,76,74
66,62,65
107,74,79
81,59,60
89,54,70
65,52,52
68,44,45
82,54,73
76,64,68
116,83,75
79,68,82
75,60,61
88,52,60
99,90,76
117,63,75
44,39,44
64,52,65
92,64,50
72,50,85
77,86,85
71,41,58
85,91,81
98,72,75
66,46,55
118,66,89
98,76,77
68,51,50
102,70,70
49,52,52
56,41,51
92,76,80
56,47,39
115,73,84
78,54,55
88,72,74
91,71,90
60,44,54
88,58,70
91,73,82
85,60,59
85,67,74
60,41,61
79,63,60
64,54,56
107,79,72
85,68,74
101,79,67
109,70,73
85,59,58
80,64,82
75,47,56
88,58,77
96,75,86
63,41,45
62,50,50
88,50,63
75,57,69
44,40,53
46,37,39
79,52,68
66,56,66
72,51,83
100,58,81
50,48,54
103,74,69
77,62,68
77,51,50
78,48,48
81,57,49
97,71,72
68,56,56
85,53,61
73,53,44
134,89,84
95,70,74
93,70,85
74,60,67
89,60,65
79,72,79
80,55,50
97,63,85
67,52,70
84,58,78
59,57,48
90,79,76
111,61,68
93,61,78
106,63,69
78,52,65
109,83,83
66,54,69
117,60,78
113,104,102
87,64,68
68,62,77
94,60,75
106,73,71
76,64,72
95,84,78
84,73,82
37,36,42
90,70,78
75,54,53
76,49,70
73,74,63
81,72,76
78,44,44
48,35,36
64,52,59
126,77,82
39,33,32
61,45,51
114,57,95
61,48,45
75,55,51
80,58,60
104,80,76
101,79,70
80,49,62
109,74,78
78,49,56
92,97,76
116,77,77
92,68,82
86,55,65
41,30,56
91,69,77
71,49,61
50,50,50
75,52,58
126,71,77
80,55,59
61,54,53
90,63,74
38,35,35
104,65,67
61,43,47
52,32,52
86,62,62
109,67,71
96,69,65
